code,market_cap_million,as_of,close,finance_date,net_profit,eps,estimated_shares,source
2229,376637.243,2026-08-31,3097,2026-07-30,4085000000,33.59,121613575.469,NP/EPS*close
2264,369565.491,2026-08-31,1145,2026-08-07,6678000000,20.69,322764620.59,NP/EPS*close
2267,819538.168,2026-08-31,2833.5,2026-07-31,13591000000,46.99,289231751.436,NP/EPS*close
2269,1217505.077,2026-08-31,4491,2026-08-05,15271000000,56.33,271098881.591,NP/EPS*close
2282,593184.658,2026-08-31,6303,2026-08-07,10772000000,114.46,94111479.993,NP/EPS*close
2327,738670.967,2026-08-31,4037,2026-01-30,21119000000,115.42,182975220.932,NP/EPS*close
2331,590611.249,2026-08-31,1216.5,2026-02-03,23673000000,48.76,485500410.172,NP/EPS*close
2371,725373.389,2026-08-31,3667,2026-02-04,14369000000,72.64,197811123.348,NP/EPS*close
2413,1243668.186,2026-08-31,1834,2026-02-04,41650000000,61.42,678117876.913,NP/EPS*close
2432,286629.127,2026-08-31,2571.5,2026-02-05,16821000000,150.91,111463786.363,NP/EPS*close
2433,499730.18,2026-08-31,1367.5,2026-02-12,10371000000,28.38,365433403.805,NP/EPS*close
2501,735950.1,2026-08-31,1888,2026-02-13,19498000000,50.02,389804078.369,NP/EPS*close
2502,2519147.684,2026-08-31,1676,2025-08-07,58725000000,39.07,1503071410.289,NP/EPS*close
2503,2474020.03,2026-08-31,3054,2026-02-13,147542000000,182.13,810091692.747,NP/EPS*close
2531,411430.986,2026-08-31,2127.5,2026-02-13,10557000000,54.59,193387067.228,NP/EPS*close
2579,673336.073,2026-08-31,3933,2026-02-13,-50763000000,-296.51,171201645.813,NP/EPS*close
